timestamp,open,high,low,close,volume,datetime
1776099600,978694319770.0,982005183962.0,977551991619.0,977813699631.0,616983450214.0532,2026-04-13 17:00:00+00:00
1776103200,977826523866.0,979550893644.0,976162815254.0,979437207519.0,616983450214.0532,2026-04-13 18:00:00+00:00
1776106800,979438661122.0,987206489317.0,978574358603.0,986450229296.0,616983450214.0532,2026-04-13 19:00:00+00:00
1776110400,986421117390.0,986421117390.0,983251924297.0,983771147368.0,616983450214.0532,2026-04-13 20:00:00+00:00
1776114000,983769783881.0,986693455071.0,983222895927.0,985809848154.0,616983450214.0532,2026-04-13 21:00:00+00:00
1776117600,985805572150.0,1005131632539.0,985699979116.0,1003598702530.0,616983450214.0532,2026-04-13 22:00:00+00:00
1776121200,1003594519287.0,1009720715684.0,1001448814107.0,1006161543213.0,616983450214.0532,2026-04-13 23:00:00+00:00
1776124800,1006160975815.0,1006988188066.0,1002543032415.0,1002790725088.0,978798693082.1187,2026-04-14 00:00:00+00:00
1776128400,1002792092114.0,1005456746506.0,1001232545628.0,1004492508316.0,978798693082.1187,2026-04-14 01:00:00+00:00
1776132000,1004492350739.0,1007479200757.0,1004405219788.0,1006436134577.0,978798693082.1187,2026-04-14 02:00:00+00:00
1776135600,1006421381037.0,1006718873062.0,1005331164041.0,1006034599737.0,978798693082.1187,2026-04-14 03:00:00+00:00
1776139200,1006045393221.0,1006515018498.0,1004787652739.0,1005243423681.0,978798693082.1187,2026-04-14 04:00:00+00:00
1776142800,1005242747914.0,1005827607748.0,1002885392437.0,1003176629741.0,978798693082.1187,2026-04-14 05:00:00+00:00
1776146400,1003179831917.0,1007361316948.0,1003178419484.0,1006996658170.0,978798693082.1187,2026-04-14 06:00:00+00:00
1776150000,1006995746681.0,1009906876221.0,1006113507198.0,1006923764967.0,978798693082.1187,2026-04-14 07:00:00+00:00
1776153600,1006941464516.0,1011301647654.0,1006317116852.0,1010080176331.0,978798693082.1187,2026-04-14 08:00:00+00:00
1776157200,1010082243550.0,1011020177956.0,1009358110021.0,1010001603466.0,978798693082.1187,2026-04-14 09:00:00+00:00
1776160800,1010009937198.0,1010266873090.0,1008063788114.0,1008285159449.0,978798693082.1187,2026-04-14 10:00:00+00:00
1776164400,1008281108683.0,1008692639961.0,1006390706321.0,1007571762751.0,978798693082.1187,2026-04-14 11:00:00+00:00
