open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2023-01-01 00:00:00,1196.1,1196.85,1192.29,1193.89,84158.668,2023-01-01 00:59:59.999,100539744.16433,39797,44825.500,53549616.83033,0
2023-01-01 01:00:00,1193.89,1196.71,1193.76,1196.16,45582.565,2023-01-01 01:59:59.999,54483253.37634,25302,25637.042,30643799.42573,0
2023-01-01 02:00:00,1196.16,1196.98,1193.99,1195.62,39286.584,2023-01-01 02:59:59.999,46963994.58183,20839,18051.524,21578829.19975,0
2023-01-01 03:00:00,1195.61,1195.61,1191.36,1194.05,84469.213,2023-01-01 03:59:59.999,100785531.12928,41667,38371.698,45784490.86697,0
2023-01-01 04:00:00,1194.05,1194.08,1190.8,1193.07,64700.607,2023-01-01 04:59:59.999,77165564.36871,34910,31956.751,38113242.72097,0
2023-01-01 05:00:00,1193.09,1194.84,1192.91,1194.57,34160.764,2023-01-01 05:59:59.999,40783908.22135,21711,17635.315,21054602.35908,0
2023-01-01 06:00:00,1194.58,1195.55,1193.87,1194.75,36005.934,2023-01-01 06:59:59.999,43017742.46323,18684,18147.582,21681790.88829,0
2023-01-01 07:00:00,1194.75,1195.84,1193.0,1195.07,56276.819,2023-01-01 07:59:59.999,67211985.51029,25149,26544.929,31703530.31455,0
2023-01-01 08:00:00,1195.07,1196.0,1193.91,1194.13,36254.1,2023-01-01 08:59:59.999,43323124.82333,19424,17525.399,20943277.59152,0
2023-01-01 09:00:00,1194.13,1196.79,1193.56,1196.55,40074.323,2023-01-01 09:59:59.999,47900965.09776,21012,22028.695,26332333.49161,0
2023-01-01 10:00:00,1196.56,1197.37,1195.35,1197.17,35014.39,2023-01-01 10:59:59.999,41885927.84093,17299,19767.953,23649036.10873,0
2023-01-01 11:00:00,1197.17,1197.68,1195.55,1196.4,38857.518,2023-01-01 11:59:59.999,46495132.17472,19976,18261.747,21851715.47471,0
2023-01-01 12:00:00,1196.4,1198.61,1195.51,1197.17,57459.281,2023-01-01 12:59:59.999,68790434.0965,27621,28636.721,34286702.79843,0
2023-01-01 13:00:00,1197.17,1197.37,1192.99,1194.99,80279.79,2023-01-01 13:59:59.999,95924356.5615,35090,30917.897,36946192.56680,0
2023-01-01 14:00:00,1195.0,1195.78,1194.04,1194.46,33373.65,2023-01-01 14:59:59.999,39879046.2604,20516,15971.092,19084513.19345,0
2023-01-01 15:00:00,1194.46,1196.71,1193.86,1196.52,35893.873,2023-01-01 15:59:59.999,42905357.31849,22024,19627.165,23462217.82096,0
2023-01-01 16:00:00,1196.51,1198.02,1195.5,1197.03,66335.813,2023-01-01 16:59:59.999,79396472.78737,30342,33016.425,39517030.60742,0
2023-01-01 17:00:00,1197.02,1203.83,1196.94,1200.34,164414.199,2023-01-01 17:59:59.999,197385310.38368,64551,91195.612,109477644.56437,0
2023-01-01 18:00:00,1200.34,1202.93,1200.34,1200.71,67473.734,2023-01-01 18:59:59.999,81073229.41049,36990,35920.761,43162175.61330,0
2023-01-01 19:00:00,1200.71,1204.67,1200.7,1201.47,82461.958,2023-01-01 19:59:59.999,99184839.69384,39925,45147.378,54305959.25101,0
2023-01-01 20:00:00,1201.47,1204.79,1200.96,1201.03,51869.207,2023-01-01 20:59:59.999,62370333.23886,28219,26648.413,32045568.88766,0
2023-01-01 21:00:00,1201.03,1202.89,1200.12,1202.59,39723.438,2023-01-01 21:59:59.999,47730513.51307,22026,20842.171,25044207.88329,0
2023-01-01 22:00:00,1202.59,1202.93,1200.0,1200.69,37623.537,2023-01-01 22:59:59.999,45208049.88687,17852,14594.545,17538021.67582,0
2023-01-01 23:00:00,1200.69,1202.52,1198.71,1199.96,70013.523,2023-01-01 23:59:59.999,84038914.8927,32774,35453.754,42557529.35184,0
