datetime,timestamp,open,high,low,close,volume,open_interest,funding_rate
2025-01-01 00:00:00+00:00,1735689600000,702.13,709.6,701.44,708.77,23231.84,555704.37,0.0
2025-01-01 01:00:00+00:00,1735693200000,708.77,710.64,706.77,708.18,21813.8,555183.8,0.0
2025-01-01 02:00:00+00:00,1735696800000,708.19,710.93,708.04,709.48,16464.06,557477.18,0.0
2025-01-01 03:00:00+00:00,1735700400000,709.47,709.9,705.08,705.54,19270.16,558758.07,0.0
2025-01-01 04:00:00+00:00,1735704000000,705.53,705.88,704.08,704.64,9207.8,558462.52,0.0
2025-01-01 05:00:00+00:00,1735707600000,704.63,706.06,704.23,705.42,7361.74,558421.65,0.0
2025-01-01 06:00:00+00:00,1735711200000,705.42,706.57,704.44,706.39,7629.97,558467.94,0.0
2025-01-01 07:00:00+00:00,1735714800000,706.4,706.53,703.3,703.63,8942.88,559632.13,0.0
2025-01-01 08:00:00+00:00,1735718400000,703.64,704.31,701.88,702.82,11067.49,560286.11,0.0
2025-01-01 09:00:00+00:00,1735722000000,702.83,704.69,700.02,703.44,23954.9,560668.46,0.0
2025-01-01 10:00:00+00:00,1735725600000,703.44,708.27,702.15,706.88,24928.29,560228.2,0.0
2025-01-01 11:00:00+00:00,1735729200000,706.88,709.0,705.98,707.32,21398.95,561592.68,0.0
2025-01-01 12:00:00+00:00,1735732800000,707.31,708.01,705.5,705.79,17622.06,559942.66,0.0
2025-01-01 13:00:00+00:00,1735736400000,705.79,709.99,705.73,709.75,26770.42,559297.3,0.0
2025-01-01 14:00:00+00:00,1735740000000,709.76,710.0,705.68,707.82,27563.85,555797.28,0.0
2025-01-01 15:00:00+00:00,1735743600000,707.83,708.55,706.06,707.81,15089.04,555672.15,0.0
2025-01-01 16:00:00+00:00,1735747200000,707.8,708.08,703.8,704.64,18993.74,555944.03,0.0
2025-01-01 17:00:00+00:00,1735750800000,704.63,705.69,702.83,705.28,12289.08,556158.12,0.0
2025-01-01 18:00:00+00:00,1735754400000,705.28,705.99,703.84,705.54,11954.53,556281.04,0.0
2025-01-01 19:00:00+00:00,1735758000000,705.55,707.7,704.84,707.2,17880.34,555667.69,-3.84e-06
2025-01-01 20:00:00+00:00,1735761600000,707.18,708.34,706.91,707.45,13249.71,555769.84,-8.447e-05
2025-01-01 21:00:00+00:00,1735765200000,707.46,707.92,706.12,707.26,9011.0,554790.02,-0.00016705
2025-01-01 22:00:00+00:00,1735768800000,707.26,708.0,706.35,707.0,8454.69,554042.65,-0.00018793
2025-01-01 23:00:00+00:00,1735772400000,707.01,708.63,706.75,707.43,11879.29,554225.18,-0.00017095
2025-01-02 00:00:00+00:00,1735776000000,707.42,707.45,698.87,702.05,83488.17,552563.55,-0.0001032
2025-01-02 01:00:00+00:00,1735779600000,702.04,703.53,700.57,701.42,25492.61,554363.74,0.0
2025-01-02 02:00:00+00:00,1735783200000,701.41,702.02,698.04,701.85,30926.58,560244.89,0.0
2025-01-02 03:00:00+00:00,1735786800000,701.84,703.84,701.32,702.03,30044.82,557492.6,0.0
2025-01-02 04:00:00+00:00,1735790400000,702.03,709.61,701.52,707.51,51149.35,560332.55,0.0
2025-01-02 05:00:00+00:00,1735794000000,707.51,708.2,705.32,706.49,23608.93,560035.32,0.0
2025-01-02 06:00:00+00:00,1735797600000,706.5,707.64,703.07,704.64,22237.48,558161.78,0.0
2025-01-02 07:00:00+00:00,1735801200000,704.64,707.19,703.89,706.68,14710.98,557072.9,0.0
2025-01-02 08:00:00+00:00,1735804800000,706.68,710.69,706.44,710.51,34072.84,556966.39,0.0
2025-01-02 09:00:00+00:00,1735808400000,710.5,715.99,708.92,715.12,46886.1,561142.44,0.0
2025-01-02 10:00:00+00:00,1735812000000,715.12,715.65,711.6,712.3,29301.23,559372.24,0.0
2025-01-02 11:00:00+00:00,1735815600000,712.31,713.22,710.41,713.0,25721.98,558401.56,0.0
2025-01-02 12:00:00+00:00,1735819200000,713.0,713.92,710.6,713.57,22070.49,558845.8,0.0
2025-01-02 13:00:00+00:00,1735822800000,713.58,713.68,710.0,711.19,21279.27,558661.28,0.0
2025-01-02 14:00:00+00:00,1735826400000,711.2,714.41,707.86,711.89,55033.31,561478.33,0.0
2025-01-02 15:00:00+00:00,1735830000000,711.82,711.98,703.25,704.58,57359.98,558637.97,0.0
2025-01-02 16:00:00+00:00,1735833600000,704.58,707.71,701.53,706.16,44298.93,557061.16,0.0
2025-01-02 17:00:00+00:00,1735837200000,706.16,708.88,701.7,704.78,37241.25,558650.1,0.0
2025-01-02 18:00:00+00:00,1735840800000,704.78,706.27,703.47,706.21,15573.75,558038.57,0.0
2025-01-02 19:00:00+00:00,1735844400000,706.22,707.44,703.74,704.63,22239.79,554749.0,0.0
2025-01-02 20:00:00+00:00,1735848000000,704.64,706.83,704.58,705.89,10888.43,553416.76,0.0
2025-01-02 21:00:00+00:00,1735851600000,705.89,706.14,704.35,705.8,8048.37,553379.67,0.0
2025-01-02 22:00:00+00:00,1735855200000,705.8,705.99,703.14,705.53,13080.65,552003.89,0.0
2025-01-02 23:00:00+00:00,1735858800000,705.53,706.48,704.79,706.11,8434.74,551617.2,0.0
2025-01-03 00:00:00+00:00,1735862400000,706.11,706.75,703.66,704.0,17008.73,552564.4,0.0
2025-01-03 01:00:00+00:00,1735866000000,704.01,704.72,701.01,704.71,26994.25,556045.7,0.0
2025-01-03 02:00:00+00:00,1735869600000,704.72,706.52,703.58,703.79,22500.13,557218.27,0.0
2025-01-03 03:00:00+00:00,1735873200000,703.79,705.24,702.42,705.08,16666.08,557746.27,0.0
2025-01-03 04:00:00+00:00,1735876800000,705.08,705.91,704.0,704.62,9496.14,558054.4,0.0
2025-01-03 05:00:00+00:00,1735880400000,704.63,705.58,703.23,705.2,10875.71,558454.79,0.0
2025-01-03 06:00:00+00:00,1735884000000,705.2,707.0,702.66,702.94,14814.47,559782.97,0.0
2025-01-03 07:00:00+00:00,1735887600000,702.93,703.37,700.13,700.6,43973.31,555565.15,0.0
2025-01-03 08:00:00+00:00,1735891200000,700.61,701.2,696.46,698.9,51679.06,550345.29,0.0
2025-01-03 09:00:00+00:00,1735894800000,698.9,702.24,698.64,701.0,27825.6,551261.42,0.0
2025-01-03 10:00:00+00:00,1735898400000,701.0,702.47,699.5,700.74,17839.4,550956.67,0.0
2025-01-03 11:00:00+00:00,1735902000000,700.75,705.4,700.75,705.21,22562.88,552017.83,0.0
2025-01-03 12:00:00+00:00,1735905600000,705.21,707.24,703.41,703.69,36342.63,555106.7,0.0
2025-01-03 13:00:00+00:00,1735909200000,703.68,706.38,703.14,704.57,19709.88,556030.49,0.0
2025-01-03 14:00:00+00:00,1735912800000,704.57,709.83,704.57,708.13,42612.21,554769.93,0.0
2025-01-03 15:00:00+00:00,1735916400000,708.13,710.94,706.6,710.07,37509.53,555019.19,0.0
2025-01-03 16:00:00+00:00,1735920000000,710.08,716.32,709.53,712.94,75478.33,550735.02,0.0
2025-01-03 17:00:00+00:00,1735923600000,712.94,713.7,708.61,712.25,47803.51,552140.83,0.0
2025-01-03 18:00:00+00:00,1735927200000,712.25,714.4,712.0,712.35,24146.92,551581.97,0.0
2025-01-03 19:00:00+00:00,1735930800000,712.35,714.29,711.9,713.55,19371.63,551187.31,0.0
2025-01-03 20:00:00+00:00,1735934400000,713.55,713.9,710.09,712.37,32407.91,550770.72,0.0
2025-01-03 21:00:00+00:00,1735938000000,712.37,715.9,711.9,714.59,22429.12,553253.89,0.0
2025-01-03 22:00:00+00:00,1735941600000,714.6,715.35,713.4,714.05,14134.48,553924.76,0.0
2025-01-03 23:00:00+00:00,1735945200000,714.06,715.88,712.45,715.22,16696.66,556144.08,0.0
2025-01-04 00:00:00+00:00,1735948800000,715.23,720.69,714.98,717.49,49625.82,559369.66,0.0
2025-01-04 01:00:00+00:00,1735952400000,717.46,718.61,715.0,716.34,25160.97,559324.66,0.0
2025-01-04 02:00:00+00:00,1735956000000,716.35,719.7,714.21,719.69,26658.02,560035.82,0.0
2025-01-04 03:00:00+00:00,1735959600000,719.69,721.97,718.68,719.66,32100.19,560456.45,0.0
2025-01-04 04:00:00+00:00,1735963200000,719.67,720.71,716.68,720.29,27214.98,557559.13,0.0
2025-01-04 05:00:00+00:00,1735966800000,720.3,720.66,718.4,719.44,12486.72,556557.08,0.0
2025-01-04 06:00:00+00:00,1735970400000,719.43,719.73,717.58,719.05,11015.99,556409.95,0.0
2025-01-04 07:00:00+00:00,1735974000000,719.06,719.19,717.81,718.11,10120.58,556014.62,0.0
2025-01-04 08:00:00+00:00,1735977600000,718.12,718.42,713.6,714.87,27208.42,556504.14,0.0
2025-01-04 09:00:00+00:00,1735981200000,714.87,716.61,714.51,715.72,15053.3,555853.98,0.0
2025-01-04 10:00:00+00:00,1735984800000,715.73,715.78,713.04,714.29,14728.49,555702.63,0.0
2025-01-04 11:00:00+00:00,1735988400000,714.29,714.77,713.2,714.35,10259.52,555355.67,0.0
2025-01-04 12:00:00+00:00,1735992000000,714.34,717.7,713.68,717.21,28948.03,552125.51,0.0
