datetime,timestamp,open,high,low,close,volume,open_interest,funding_rate
2025-01-01 00:00:00+00:00,1735689600000,93548.8,94449.2,93460.2,94363.6,5744.609,90942.029,0.0001
2025-01-01 01:00:00+00:00,1735693200000,94363.6,94363.7,93545.0,93588.0,3991.464,90926.002,0.0001
2025-01-01 02:00:00+00:00,1735696800000,93587.9,94082.4,93561.8,94064.4,2297.236,91040.801,0.0001
2025-01-01 03:00:00+00:00,1735700400000,94064.4,94070.2,93692.6,93810.0,1928.71,91175.893,0.0001
2025-01-01 04:00:00+00:00,1735704000000,93810.0,93810.1,93502.0,93545.0,2241.616,91389.355,0.0001
2025-01-01 05:00:00+00:00,1735707600000,93544.9,93914.7,93520.3,93760.0,2482.025,91380.818,0.0001
2025-01-01 06:00:00+00:00,1735711200000,93760.0,93760.0,93533.3,93734.2,1970.927,91424.581,0.0001
2025-01-01 07:00:00+00:00,1735714800000,93734.2,93785.4,93627.7,93660.7,1157.915,91611.878,0.0001
2025-01-01 08:00:00+00:00,1735718400000,93660.7,93735.2,93258.8,93398.2,3525.325,91677.34,0.0001
2025-01-01 09:00:00+00:00,1735722000000,93398.2,93462.9,92796.5,93382.1,8669.812,91403.987,0.0001
2025-01-01 10:00:00+00:00,1735725600000,93382.1,93510.0,93250.1,93307.7,2989.11,91478.761,0.0001
2025-01-01 11:00:00+00:00,1735729200000,93307.8,93692.3,93160.0,93420.1,3820.741,91674.698,0.0001
2025-01-01 12:00:00+00:00,1735732800000,93420.1,93967.9,93375.0,93788.3,4760.931,91458.013,0.0001
2025-01-01 13:00:00+00:00,1735736400000,93788.4,94035.4,93570.0,93995.2,3460.306,91634.299,0.0001
2025-01-01 14:00:00+00:00,1735740000000,93995.3,94430.0,93622.7,94147.2,9401.935,91627.579,0.0001
2025-01-01 15:00:00+00:00,1735743600000,94147.2,94489.5,93854.4,94409.9,4503.897,91507.456,0.0001
2025-01-01 16:00:00+00:00,1735747200000,94409.9,94475.0,93900.0,94070.1,4168.835,91441.35,0.0001
2025-01-01 17:00:00+00:00,1735750800000,94070.1,94180.0,93729.2,94123.7,3256.958,91187.654,0.0001
2025-01-01 18:00:00+00:00,1735754400000,94123.6,94375.1,93918.6,94321.6,2460.722,91401.137,0.0001
2025-01-01 19:00:00+00:00,1735758000000,94321.6,94823.2,94129.7,94612.1,5021.183,91461.423,0.0001
2025-01-01 20:00:00+00:00,1735761600000,94612.1,94850.0,94561.7,94767.3,2694.085,91731.033,0.0001
