timestamp,open,high,low,close,volume,datetime
1775001600,704874175427.0,705966970082.0,703918640895.0,705787187797.0,448150379286.24536,2026-04-01 00:00:00+00:00
1775005200,705795300429.0,705886909108.0,703133000049.0,703133000049.0,448150379286.24536,2026-04-01 01:00:00+00:00
1775008800,703126885484.0,703715118128.0,702407564986.0,702661502062.0,448150379286.24536,2026-04-01 02:00:00+00:00
1775012400,702659968460.0,705560376094.0,702659406544.0,705393185290.0,448150379286.24536,2026-04-01 03:00:00+00:00
1775016000,705392577753.0,705730155288.0,704617547039.0,705109266243.0,448150379286.24536,2026-04-01 04:00:00+00:00
1775019600,705104950783.0,707437753491.0,704496778351.0,707114529762.0,448150379286.24536,2026-04-01 05:00:00+00:00
1775023200,707116889127.0,710779525318.0,707111807374.0,710102972070.0,448150379286.24536,2026-04-01 06:00:00+00:00
1775026800,710096628498.0,710961539490.0,707959438018.0,708017463834.0,448150379286.24536,2026-04-01 07:00:00+00:00
1775030400,708034455143.0,708570534386.0,706955675166.0,707214114437.0,448150379286.24536,2026-04-01 08:00:00+00:00
1775034000,707215424612.0,707473843944.0,706164972361.0,706810218842.0,448150379286.24536,2026-04-01 09:00:00+00:00
1775037600,706804073460.0,707231582957.0,706114092817.0,706928912102.0,448150379286.24536,2026-04-01 10:00:00+00:00
1775041200,706922600471.0,707524617459.0,706434837274.0,707329779584.0,448150379286.24536,2026-04-01 11:00:00+00:00
1775044800,707313134749.0,709111521441.0,706617259694.0,706848099041.0,448150379286.24536,2026-04-01 12:00:00+00:00
1775048400,706862297187.0,707858417891.0,704718543792.0,705270068512.0,448150379286.24536,2026-04-01 13:00:00+00:00
1775052000,705285762999.0,707939858653.0,705279976555.0,707486773046.0,448150379286.24536,2026-04-01 14:00:00+00:00
1775055600,707489467698.0,708120711700.0,706261468294.0,708094012338.0,448150379286.24536,2026-04-01 15:00:00+00:00
1775059200,708081813154.0,709882738082.0,706517298813.0,709388565057.0,448150379286.24536,2026-04-01 16:00:00+00:00
1775062800,709384893439.0,711885833074.0,707537493164.0,707568685026.0,448150379286.24536,2026-04-01 17:00:00+00:00
1775066400,707573888868.0,707705448497.0,706104329620.0,706214075280.0,448150379286.24536,2026-04-01 18:00:00+00:00
1775070000,706226851800.0,707671921457.0,706226851800.0,706930959906.0,448150379286.24536,2026-04-01 19:00:00+00:00
1775073600,706988566948.0,707152711391.0,704567637325.0,705667443557.0,448150379286.24536,2026-04-01 20:00:00+00:00
1775077200,705668831619.0,707359429052.0,705538022143.0,706304675371.0,448150379286.24536,2026-04-01 21:00:00+00:00
1775080800,706298278630.0,706298278630.0,703797283425.0,704109877900.0,448150379286.24536,2026-04-01 22:00:00+00:00
1775084400,704113886561.0,705728004467.0,703857653482.0,705527499754.0,448150379286.24536,2026-04-01 23:00:00+00:00
1775088000,705521174086.0,708235303958.0,705521174086.0,708170447923.0,469138347779.5597,2026-04-02 00:00:00+00:00
1775091600,708181355484.0,708182699746.0,699737643567.0,700633640020.0,469138347779.5597,2026-04-02 01:00:00+00:00
1775095200,700630489912.0,700637171065.0,695127548090.0,696041952433.0,469138347779.5597,2026-04-02 02:00:00+00:00
1775098800,696041521794.0,696131958514.0,693463066671.0,694274809892.0,469138347779.5597,2026-04-02 03:00:00+00:00
1775102400,694274835399.0,694690643703.0,692508709685.0,692615349631.0,469138347779.5597,2026-04-02 04:00:00+00:00
1775106000,692609468254.0,694478224470.0,692401677038.0,694270278340.0,469138347779.5597,2026-04-02 05:00:00+00:00
1775109600,694268863679.0,695214310232.0,693766955415.0,694224431479.0,469138347779.5597,2026-04-02 06:00:00+00:00
1775113200,694231262477.0,695344501680.0,693766932094.0,695344501680.0,469138347779.5597,2026-04-02 07:00:00+00:00
1775116800,695344643352.0,695350188592.0,693600020715.0,693600020715.0,469138347779.5597,2026-04-02 08:00:00+00:00
1775120400,693603965504.0,693710236187.0,692770387302.0,693322945968.0,469138347779.5597,2026-04-02 09:00:00+00:00
1775124000,693312988114.0,693432191778.0,691784188753.0,691784188753.0,469138347779.5597,2026-04-02 10:00:00+00:00
1775127600,691786233560.0,691962245985.0,689805218194.0,690689092194.0,469138347779.5597,2026-04-02 11:00:00+00:00
1775131200,690690980806.0,690690980806.0,688699030797.0,688751268356.0,469138347779.5597,2026-04-02 12:00:00+00:00
1775134800,688749769838.0,689785511490.0,687491335827.0,689704711941.0,469138347779.5597,2026-04-02 13:00:00+00:00
1775138400,689707797970.0,694259505061.0,689137647119.0,693277967461.0,469138347779.5597,2026-04-02 14:00:00+00:00
1775142000,693255543267.0,693255543267.0,690894439774.0,692270012967.0,469138347779.5597,2026-04-02 15:00:00+00:00
1775145600,692276531369.0,694863317915.0,691997110742.0,693848267136.0,469138347779.5597,2026-04-02 16:00:00+00:00
1775149200,693842871121.0,695379761555.0,691690061037.0,691712564621.0,469138347779.5597,2026-04-02 17:00:00+00:00
1775152800,691712215971.0,694190245414.0,691573208908.0,693788776058.0,469138347779.5597,2026-04-02 18:00:00+00:00
1775156400,693790433656.0,694317273914.0,692666261286.0,694317273914.0,469138347779.5597,2026-04-02 19:00:00+00:00
1775160000,694314540981.0,696168419622.0,693722663210.0,695432424439.0,469138347779.5597,2026-04-02 20:00:00+00:00
1775163600,695432868099.0,695667475815.0,694083136689.0,695080155645.0,469138347779.5597,2026-04-02 21:00:00+00:00
1775167200,695082288489.0,695558528607.0,694269586410.0,695246457233.0,469138347779.5597,2026-04-02 22:00:00+00:00
1775170800,695235129072.0,695566266363.0,693908991277.0,694182064188.0,469138347779.5597,2026-04-02 23:00:00+00:00
1775174400,694174286258.0,695006251411.0,694174286258.0,694457843537.0,283580802453.9367,2026-04-03 00:00:00+00:00
1775178000,694452084123.0,695825750059.0,693783743585.0,694224280392.0,283580802453.9367,2026-04-03 01:00:00+00:00
1775181600,694233506879.0,695805088510.0,693247444230.0,695681064140.0,283580802453.9367,2026-04-03 02:00:00+00:00
1775185200,695684690547.0,697107559743.0,695458248545.0,696988936295.0,283580802453.9367,2026-04-03 03:00:00+00:00
1775188800,696976524083.0,697586588607.0,696371853480.0,697586588607.0,283580802453.9367,2026-04-03 04:00:00+00:00
1775192400,697588210938.0,699140882758.0,696685254000.0,697920924668.0,283580802453.9367,2026-04-03 05:00:00+00:00
1775196000,697913959978.0,698845210724.0,697411978826.0,698474244103.0,283580802453.9367,2026-04-03 06:00:00+00:00
1775199600,698467840435.0,699671362622.0,697965238732.0,698381087817.0,283580802453.9367,2026-04-03 07:00:00+00:00
1775203200,698386921999.0,699172873548.0,697948121390.0,698319379633.0,283580802453.9367,2026-04-03 08:00:00+00:00
1775206800,698317565930.0,698552496932.0,697358431754.0,697930720634.0,283580802453.9367,2026-04-03 09:00:00+00:00
1775210400,697935703794.0,698493748548.0,697255565965.0,698493748548.0,283580802453.9367,2026-04-03 10:00:00+00:00
1775214000,698496211176.0,699090745487.0,698258443309.0,699049336386.0,283580802453.9367,2026-04-03 11:00:00+00:00
1775217600,699054692672.0,701558347707.0,697452206848.0,697781229661.0,283580802453.9367,2026-04-03 12:00:00+00:00
1775221200,697793676843.0,697999826507.0,697001604899.0,697999826507.0,283580802453.9367,2026-04-03 13:00:00+00:00
1775224800,697996997314.0,699078146015.0,697449524602.0,699066228088.0,283580802453.9367,2026-04-03 14:00:00+00:00
1775228400,699038025913.0,699700249271.0,698330718095.0,698462517533.0,283580802453.9367,2026-04-03 15:00:00+00:00
1775232000,698456911081.0,699801442052.0,698456911081.0,699766431076.0,283580802453.9367,2026-04-03 16:00:00+00:00
1775235600,699756156165.0,699905702725.0,698437738172.0,699041470129.0,283580802453.9367,2026-04-03 17:00:00+00:00
1775239200,699036117742.0,699485000870.0,698205050158.0,698236105898.0,283580802453.9367,2026-04-03 18:00:00+00:00
1775242800,698234303330.0,698659515507.0,697248729882.0,698595945539.0,283580802453.9367,2026-04-03 19:00:00+00:00
1775246400,698593927530.0,698973892104.0,698571812699.0,698649315855.0,283580802453.9367,2026-04-03 20:00:00+00:00
1775250000,698648427569.0,699357793121.0,698624017936.0,699034314423.0,283580802453.9367,2026-04-03 21:00:00+00:00
1775253600,699034717286.0,699034717286.0,697792177742.0,698070041525.0,283580802453.9367,2026-04-03 22:00:00+00:00
1775257200,698070246068.0,698150979648.0,696923020660.0,697401314001.0,283580802453.9367,2026-04-03 23:00:00+00:00
1775260800,697399066531.0,697399066531.0,696775118874.0,696937099259.0,210957306874.59528,2026-04-04 00:00:00+00:00
1775264400,696930494289.0,697254305391.0,696535134553.0,696672386945.0,210957306874.59528,2026-04-04 01:00:00+00:00
1775268000,696670059290.0,698293706990.0,696307863331.0,698059245239.0,210957306874.59528,2026-04-04 02:00:00+00:00
1775271600,698061369546.0,698701761686.0,698061369546.0,698562106044.0,210957306874.59528,2026-04-04 03:00:00+00:00
1775275200,698564616389.0,698894316078.0,698480850997.0,698599923407.0,210957306874.59528,2026-04-04 04:00:00+00:00
1775278800,698599341712.0,698913639510.0,698274356470.0,698509047633.0,210957306874.59528,2026-04-04 05:00:00+00:00
1775282400,698507250647.0,699923966141.0,698507250647.0,699737671506.0,210957306874.59528,2026-04-04 06:00:00+00:00
1775286000,699735493066.0,699740687874.0,698766609842.0,698973083841.0,210957306874.59528,2026-04-04 07:00:00+00:00
1775289600,698975047223.0,699327424065.0,698312346943.0,698312346943.0,210957306874.59528,2026-04-04 08:00:00+00:00
1775293200,698315272833.0,698590791117.0,698257217959.0,698303458481.0,210957306874.59528,2026-04-04 09:00:00+00:00
1775296800,698301879125.0,698960882387.0,698056562350.0,698960882387.0,210957306874.59528,2026-04-04 10:00:00+00:00
1775300400,698979044421.0,699202990234.0,698474843723.0,698721279937.0,210957306874.59528,2026-04-04 11:00:00+00:00
1775304000,698724535137.0,698812497866.0,698224873383.0,698487646932.0,210957306874.59528,2026-04-04 12:00:00+00:00
1775307600,698488316069.0,698525089903.0,696749828777.0,696922442582.0,210957306874.59528,2026-04-04 13:00:00+00:00
1775311200,696918334086.0,697458949357.0,695895092248.0,697451200335.0,210957306874.59528,2026-04-04 14:00:00+00:00
1775314800,697465473446.0,699014147367.0,697306193748.0,698235437130.0,210957306874.59528,2026-04-04 15:00:00+00:00
1775318400,698237461369.0,699124483123.0,697937488668.0,697939358087.0,210957306874.59528,2026-04-04 16:00:00+00:00
1775322000,697943867353.0,699296563794.0,697727827860.0,699150989667.0,210957306874.59528,2026-04-04 17:00:00+00:00
1775325600,699144806452.0,699338632883.0,698923225698.0,699018460830.0,210957306874.59528,2026-04-04 18:00:00+00:00
1775329200,699023646015.0,701121546816.0,698977204690.0,699345913940.0,210957306874.59528,2026-04-04 19:00:00+00:00
1775332800,699344286933.0,699399317163.0,698910240149.0,699100923844.0,210957306874.59528,2026-04-04 20:00:00+00:00
1775336400,699099793866.0,699707934928.0,698813080088.0,699394383968.0,210957306874.59528,2026-04-04 21:00:00+00:00
1775340000,699395187216.0,699757279431.0,699246600151.0,699457567175.0,210957306874.59528,2026-04-04 22:00:00+00:00
1775343600,699456487952.0,700417232620.0,698799315420.0,700417232620.0,210957306874.59528,2026-04-04 23:00:00+00:00
1775347200,700419940182.0,700419940182.0,699596059475.0,699766688458.0,245870095706.53033,2026-04-05 00:00:00+00:00
1775350800,699782280943.0,699948513278.0,699225859076.0,699225859076.0,245870095706.53033,2026-04-05 01:00:00+00:00
1775354400,699225333563.0,699225333563.0,698073275625.0,698415528996.0,245870095706.53033,2026-04-05 02:00:00+00:00
1775358000,698420653015.0,698433097427.0,697835641690.0,698036826407.0,245870095706.53033,2026-04-05 03:00:00+00:00
1775361600,698040771308.0,698134325844.0,697395820310.0,697395820310.0,245870095706.53033,2026-04-05 04:00:00+00:00
1775365200,697393514822.0,697428178840.0,695814672338.0,695980087711.0,245870095706.53033,2026-04-05 05:00:00+00:00
1775368800,695981824350.0,695981824350.0,693778089763.0,695098687605.0,245870095706.53033,2026-04-05 06:00:00+00:00
1775372400,695044622264.0,695210375733.0,694112953012.0,694374234127.0,245870095706.53033,2026-04-05 07:00:00+00:00
