timestamp,value,datetime
1780632000,10162586.86,2026-06-05 04:00:00+00:00
1780635600,10142127.1,2026-06-05 05:00:00+00:00
1780639200,10024650.13,2026-06-05 06:00:00+00:00
1780642800,9915308.86,2026-06-05 07:00:00+00:00
1780646400,9967942.17,2026-06-05 08:00:00+00:00
1780650000,9945585.15,2026-06-05 09:00:00+00:00
1780653600,10003930.54,2026-06-05 10:00:00+00:00
1780657200,9977721.07,2026-06-05 11:00:00+00:00
1780660800,9982561.97,2026-06-05 12:00:00+00:00
1780664400,9948787.54,2026-06-05 13:00:00+00:00
