timestamp,value,datetime
1780632000,9.13e-06,2026-06-05 04:00:00+00:00
1780635600,9.18e-06,2026-06-05 05:00:00+00:00
1780639200,-1.505e-05,2026-06-05 06:00:00+00:00
1780642800,-1.456e-05,2026-06-05 07:00:00+00:00
1780646400,-2.904e-05,2026-06-05 08:00:00+00:00
1780650000,-3.351e-05,2026-06-05 09:00:00+00:00
1780653600,-3.168e-05,2026-06-05 10:00:00+00:00
1780657200,-2.314e-05,2026-06-05 11:00:00+00:00
1780660800,-1.904e-05,2026-06-05 12:00:00+00:00
1780664400,-1.447e-05,2026-06-05 13:00:00+00:00
