timestamp,value,datetime
1780632000,-0.00019096,2026-06-05 04:00:00+00:00
1780635600,-0.0002017,2026-06-05 05:00:00+00:00
1780639200,-0.00023654,2026-06-05 06:00:00+00:00
1780642800,-0.00025717,2026-06-05 07:00:00+00:00
1780646400,-0.00029492,2026-06-05 08:00:00+00:00
1780650000,-0.00030387,2026-06-05 09:00:00+00:00
1780653600,-0.00028075,2026-06-05 10:00:00+00:00
1780657200,-0.00024526,2026-06-05 11:00:00+00:00
1780660800,-0.00022703,2026-06-05 12:00:00+00:00
1780664400,-0.00020611,2026-06-05 13:00:00+00:00
