open_time,open,high,low,close,volume
2022-01-01 00:00:00,46210.57,46729.73,46210.55,46650.01,8957.465
2022-01-01 01:00:00,46650.0,46944.56,46570.34,46766.78,7276.249
2022-01-01 02:00:00,46767.44,46917.87,46709.44,46796.14,4478.713
2022-01-01 03:00:00,46796.15,46888.0,46746.32,46789.56,4208.992
2022-01-01 04:00:00,46789.55,46868.74,46605.0,46690.81,6149.298
2022-01-01 05:00:00,46690.81,47566.66,46657.99,47184.18,14988.008
2022-01-01 06:00:00,47184.19,47314.4,46914.84,46972.19,7474.84
2022-01-01 07:00:00,46972.19,47247.44,46867.0,47186.83,6227.873
2022-01-01 08:00:00,47186.83,47338.0,47060.74,47117.84,6294.515
2022-01-01 09:00:00,47118.78,47200.0,46920.02,47137.37,5512.434
2022-01-01 10:00:00,47137.01,47293.76,46700.09,46864.09,11859.238
2022-01-01 11:00:00,46867.57,47003.92,46750.0,46755.01,5755.1
2022-01-01 12:00:00,46755.01,47148.0,46755.01,47062.37,6002.673
2022-01-01 13:00:00,47062.37,47200.0,46907.65,47005.55,5855.182
2022-01-01 14:00:00,47005.55,47105.19,46830.23,46909.2,5335.895
2022-01-01 15:00:00,46909.2,47488.64,46860.2,47194.78,11099.98
2022-01-01 16:00:00,47194.77,47500.0,47157.59,47249.99,8978.195
2022-01-01 17:00:00,47250.0,47943.77,47220.03,47733.16,13824.724
2022-01-01 18:00:00,47733.16,47832.04,47400.44,47546.74,9854.73
2022-01-01 19:00:00,47546.74,47603.9,47278.67,47326.98,5808.847
2022-01-01 20:00:00,47326.99,47549.98,47223.0,47385.22,5905.027
2022-01-01 21:00:00,47385.21,47533.59,47262.48,47322.2,5161.124
2022-01-01 22:00:00,47322.19,47484.48,47202.47,47428.16,4628.942
2022-01-01 23:00:00,47428.17,47813.43,47267.08,47704.35,7795.54
2022-01-02 00:00:00,47704.35,47745.61,47352.58,47622.14,8231.279
2022-01-02 01:00:00,47622.14,47633.11,47312.99,47381.21,4396.838
2022-01-02 02:00:00,47381.21,47454.65,47282.5,47374.28,4189.093
2022-01-02 03:00:00,47374.29,47470.0,47263.28,47330.75,4022.971
2022-01-02 04:00:00,47330.76,47418.65,46749.99,46902.11,13039.814
2022-01-02 05:00:00,46903.89,47091.58,46821.92,47077.7,7534.557
2022-01-02 06:00:00,47076.58,47250.0,47005.3,47122.49,5991.521
2022-01-02 07:00:00,47122.49,47294.01,47085.82,47171.04,4750.668
2022-01-02 08:00:00,47171.39,47240.0,46963.66,47211.36,5703.105
2022-01-02 09:00:00,47211.36,47500.0,47135.0,47263.18,8015.488
2022-01-02 10:00:00,47263.18,47345.0,47121.53,47175.95,3869.99
2022-01-02 11:00:00,47175.95,47374.7,47148.16,47231.3,4619.824
2022-01-02 12:00:00,47231.29,47453.05,47002.47,47279.57,9127.342
2022-01-02 13:00:00,47279.58,47291.91,47075.0,47133.07,5431.669
2022-01-02 14:00:00,47133.08,47200.0,47006.66,47110.2,4712.418
2022-01-02 15:00:00,47110.2,47400.0,47068.5,47329.68,7520.711
2022-01-02 16:00:00,47329.68,47888.0,47263.5,47780.0,15064.059
2022-01-02 17:00:00,47780.01,48000.0,47301.0,47402.3,17209.064
2022-01-02 18:00:00,47401.6,47408.7,46605.68,47046.95,22919.292
2022-01-02 19:00:00,47046.96,47220.0,46836.6,46908.29,8671.035
2022-01-02 20:00:00,46908.66,47051.73,46815.75,47012.47,4540.095
2022-01-02 21:00:00,47012.47,47185.65,46916.95,47023.47,4366.636
