timestamp,open,high,low,close,volume,taker_buy_base,complete
2025-08-01 00:00:00+00:00,115697.3,116000,114239,115595.7,42604.847000000002,20145.998,True
2025-08-01 04:00:00+00:00,115595.60000000001,115873.39999999999,114579.5,115015.10000000001,21214.534,10066.861000000001,True
2025-08-01 08:00:00+00:00,115015.10000000001,115291.10000000001,114055.60000000001,115246.60000000001,26589.382000000001,13404.191000000001,True
2025-08-01 12:00:00+00:00,115246.5,115956,113871.10000000001,115305.3,54800.767,27106.157999999999,True
2025-08-01 16:00:00+00:00,115305.3,115656.8,113173.7,113278.5,46088.415999999997,21000.588,True
2025-08-01 20:00:00+00:00,113278.39999999999,114039,112660,113244.8,29984.152999999998,14693.030000000001,True
2025-08-02 00:00:00+00:00,113244.8,113873.7,113145,113859.89999999999,11027.075000000001,5768.848,True
2025-08-02 04:00:00+00:00,113860,114000,113415.8,113919.89999999999,11938.325999999999,5246.152,True
2025-08-02 08:00:00+00:00,113920,113988,113370,113732.5,10218.834999999999,4580.7030000000004,True
2025-08-02 12:00:00+00:00,113732.60000000001,113740.5,112769.2,112798.60000000001,18494.393,7646.8580000000002,True
2025-08-02 16:00:00+00:00,112798.60000000001,113388.89999999999,111910,112175.5,36337.074000000001,16468.282999999999,True
2025-08-02 20:00:00+00:00,112175.5,113022.5,112007.89999999999,112508.8,14443.745000000001,7458.3800000000001,True
2025-08-03 00:00:00+00:00,112508.8,113694,111850,113550.89999999999,17961.77,9072.6299999999992,True
2025-08-03 04:00:00+00:00,113550.89999999999,113676.39999999999,113285.7,113647.2,6301.7709999999997,3015.3890000000001,True
2025-08-03 08:00:00+00:00,113647.2,114200,113492.5,113810.10000000001,11023.459000000001,5884.7730000000001,True
2025-08-03 12:00:00+00:00,113810,114049.8,113529.60000000001,113904.3,10900.396000000001,5057.4139999999998,True
2025-08-03 16:00:00+00:00,113904.3,114730,113727.8,114259,10570.464,5129.3800000000001,True
2025-08-03 20:00:00+00:00,114259.10000000001,114567.3,114011.3,114150.8,6426.009,2937.5100000000002,True
2025-08-04 00:00:00+00:00,114150.89999999999,114963.39999999999,114053.8,114520.2,12295.236999999999,5969.8190000000004,True
2025-08-04 04:00:00+00:00,114520.3,114739.3,114089,114607,9279.7970000000005,4240.3019999999997,True
2025-08-04 08:00:00+00:00,114607,114715,114166,114450,7637.6689999999999,3539.2759999999998,True
2025-08-04 12:00:00+00:00,114450.10000000001,115431.60000000001,114070,114766.3,27575.334999999999,13276.087,True
2025-08-04 16:00:00+00:00,114766.39999999999,115686,114681.10000000001,114724,17022.067999999999,8605.8179999999993,True
2025-08-04 20:00:00+00:00,114724,115299,114580.39999999999,115002.10000000001,9518.4850000000006,4801.134,True
2025-08-05 00:00:00+00:00,115002.10000000001,115073.3,114213.60000000001,114215,10318.429,4953.5910000000003,True
2025-08-05 04:00:00+00:00,114214.89999999999,114468.10000000001,113650,113924.7,16889.881000000001,7445.1880000000001,True
