timestamp,open,high,low,close,volume,taker_buy_base
1754006400000,115697.3,116000.0,114239.0,115595.7,42604.847,20145.998
1754020800000,115595.6,115873.4,114579.5,115015.1,21214.534,10066.861
1754035200000,115015.1,115291.1,114055.6,115246.6,26589.382,13404.191
1754049600000,115246.5,115956.0,113871.1,115305.3,54800.767,27106.158
1754064000000,115305.3,115656.8,113173.7,113278.5,46088.416,21000.588
1754078400000,113278.4,114039.0,112660.0,113244.8,29984.153,14693.03
1754092800000,113244.8,113873.7,113145.0,113859.9,11027.075,5768.848
1754107200000,113860.0,114000.0,113415.8,113919.9,11938.326,5246.152
1754121600000,113920.0,113988.0,113370.0,113732.5,10218.835,4580.703
1754136000000,113732.6,113740.5,112769.2,112798.6,18494.393,7646.858
1754150400000,112798.6,113388.9,111910.0,112175.5,36337.074,16468.283
1754164800000,112175.5,113022.5,112007.9,112508.8,14443.745,7458.38
1754179200000,112508.8,113694.0,111850.0,113550.9,17961.77,9072.63
1754193600000,113550.9,113676.4,113285.7,113647.2,6301.771,3015.389
1754208000000,113647.2,114200.0,113492.5,113810.1,11023.459,5884.773
1754222400000,113810.0,114049.8,113529.6,113904.3,10900.396,5057.414
1754236800000,113904.3,114730.0,113727.8,114259.0,10570.464,5129.38
1754251200000,114259.1,114567.3,114011.3,114150.8,6426.009,2937.51
1754265600000,114150.9,114963.4,114053.8,114520.2,12295.237,5969.819
1754280000000,114520.3,114739.3,114089.0,114607.0,9279.797,4240.302
1754294400000,114607.0,114715.0,114166.0,114450.0,7637.669,3539.276
1754308800000,114450.1,115431.6,114070.0,114766.3,27575.335,13276.087
1754323200000,114766.4,115686.0,114681.1,114724.0,17022.068,8605.818
1754337600000,114724.0,115299.0,114580.4,115002.1,9518.485,4801.134
1754352000000,115002.1,115073.3,114213.6,114215.0,10318.429,4953.591
1754366400000,114214.9,114468.1,113650.0,113924.7,16889.881,7445.188
1754380800000,113924.7,115057.0,113869.5,114782.0,15542.383,8458.894
1754395200000,114782.1,114860.1,112582.4,112871.8,48789.021,22554.355
1754409600000,112871.7,113731.7,112755.1,113573.1,16283.201,7784.519
1754424000000,113573.8,114178.4,113240.1,114069.6,11493.513,5434.661
1754438400000,114069.6,114091.3,113355.5,113470.1,9186.999,4043.657
1754452800000,113470.2,114390.2,113304.5,114179.2,14343.657,7432.395
1754467200000,114179.2,114372.7,113663.3,114188.0,11807.499,5552.69
1754481600000,114187.9,115488.0,113520.0,115366.3,37775.792,19895.801
1754496000000,115366.2,115674.2,114867.0,115215.1,18625.447,8547.737
1754510400000,115215.0,115228.5,114732.8,114941.0,6859.276,3037.487
1754524800000,114941.0,115144.0,114333.6,114500.8,10847.644,5448.987
1754539200000,114500.9,114834.4,114211.4,114751.1,10679.936,6025.183
1754553600000,114751.2,116782.6,114750.0,116469.1,40981.265,22628.5
