open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2023-01-01 00:00:00,9.968,10.016,9.923,9.979,2192047.0,2023-01-01 00:59:59.999,21859206.696,33866,1132157,11290414.6350,0
2023-01-01 01:00:00,9.98,10.06,9.97,10.032,1386948.0,2023-01-01 01:59:59.999,13905881.854,23036,703669,7056251.8230,0
2023-01-01 02:00:00,10.031,10.074,9.981,10.006,1048577.0,2023-01-01 02:59:59.999,10514183.985,19298,531650,5331473.8620,0
2023-01-01 03:00:00,10.005,10.005,9.894,9.957,1629822.0,2023-01-01 03:59:59.999,16210752.757,27628,822714,8182824.8600,0
2023-01-01 04:00:00,9.957,9.978,9.81,9.837,1883235.0,2023-01-01 04:59:59.999,18602138.106,28394,763989,7545728.3840,0
2023-01-01 05:00:00,9.837,9.847,9.711,9.786,2179065.0,2023-01-01 05:59:59.999,21299943.783,33161,1056949,10332076.1220,0
2023-01-01 06:00:00,9.787,9.836,9.754,9.783,1164816.0,2023-01-01 06:59:59.999,11410885.658,18387,634816,6220031.5330,0
2023-01-01 07:00:00,9.784,9.789,9.678,9.782,1753049.0,2023-01-01 07:59:59.999,17083642.908,25350,881668,8593922.3970,0
2023-01-01 08:00:00,9.782,9.786,9.693,9.719,1441280.0,2023-01-01 08:59:59.999,14031203.77,20476,681950,6639102.3600,0
2023-01-01 09:00:00,9.718,9.81,9.717,9.8,1225030.0,2023-01-01 09:59:59.999,11965495.841,16753,658540,6433011.2540,0
2023-01-01 10:00:00,9.8,9.8,9.761,9.795,704478.0,2023-01-01 10:59:59.999,6892017.991,11559,339340,3319927.3120,0
2023-01-01 11:00:00,9.794,9.975,9.794,9.915,3249968.0,2023-01-01 11:59:59.999,32183673.787,38467,1632559,16164126.1590,0
2023-01-01 12:00:00,9.916,9.944,9.87,9.929,990377.0,2023-01-01 12:59:59.999,9808614.48,14915,499231,4945170.1750,0
2023-01-01 13:00:00,9.93,9.955,9.813,9.842,1616056.0,2023-01-01 13:59:59.999,15951011.953,20777,752075,7422119.3940,0
2023-01-01 14:00:00,9.842,9.887,9.8,9.828,1893049.0,2023-01-01 14:59:59.999,18619033.465,19490,968407,9524799.3120,0
2023-01-01 15:00:00,9.828,9.857,9.781,9.848,1060878.0,2023-01-01 15:59:59.999,10417777.029,13389,499404,4905897.2930,0
2023-01-01 16:00:00,9.849,9.909,9.821,9.855,1127073.0,2023-01-01 16:59:59.999,11115591.28,16692,586448,5784822.6320,0
2023-01-01 17:00:00,9.855,9.945,9.852,9.93,1202063.0,2023-01-01 17:59:59.999,11911192.867,17193,638404,6326194.7990,0
2023-01-01 18:00:00,9.93,10.019,9.93,9.975,1799473.0,2023-01-01 18:59:59.999,17961037.657,25225,970061,9682309.3280,0
2023-01-01 19:00:00,9.976,10.04,9.919,9.945,1192955.0,2023-01-01 19:59:59.999,11906283.375,17613,574989,5741974.1750,0
2023-01-01 20:00:00,9.945,10.023,9.926,9.959,900796.0,2023-01-01 20:59:59.999,8989843.541,15000,482375,4814338.9790,0
2023-01-01 21:00:00,9.959,9.986,9.928,9.962,609508.0,2023-01-01 21:59:59.999,6069872.431,10258,284115,2829691.0380,0
2023-01-01 22:00:00,9.962,10.0,9.952,9.96,480892.0,2023-01-01 22:59:59.999,4796750.762,8735,259908,2592523.1150,0
2023-01-01 23:00:00,9.961,10.048,9.934,9.977,1257890.0,2023-01-01 23:59:59.999,12558469.208,18071,616261,6151531.0430,0
2023-01-02 00:00:00,9.977,9.977,9.862,9.896,1002055.0,2023-01-02 00:59:59.999,9927818.964,17031,462093,4578337.6650,0
2023-01-02 01:00:00,9.896,9.923,9.796,9.831,1813509.0,2023-01-02 01:59:59.999,17859975.186,26076,874368,8611398.9070,0
2023-01-02 02:00:00,9.83,9.924,9.81,9.9,893841.0,2023-01-02 02:59:59.999,8822140.096,12950,501795,4952988.0720,0
2023-01-02 03:00:00,9.9,10.008,9.87,9.977,1096942.0,2023-01-02 03:59:59.999,10910863.289,17760,599263,5961301.0200,0
2023-01-02 04:00:00,9.977,10.02,9.942,9.965,943771.0,2023-01-02 04:59:59.999,9409118.511,15699,494213,4927561.8720,0
2023-01-02 05:00:00,9.966,9.987,9.927,9.975,678684.0,2023-01-02 05:59:59.999,6757504.822,10680,371259,3696796.5760,0
2023-01-02 06:00:00,9.975,9.995,9.939,9.97,654544.0,2023-01-02 06:59:59.999,6525595.802,10472,320850,3199161.4700,0
2023-01-02 07:00:00,9.969,12.067,9.966,11.083,23493361.0,2023-01-02 07:59:59.999,259917978.108,363696,12815094,141710620.2660,0
2023-01-02 08:00:00,11.084,11.36,10.991,11.178,9664161.0,2023-01-02 08:59:59.999,108284562.824,170369,5135833,57553497.6310,0
2023-01-02 09:00:00,11.178,11.244,11.031,11.137,4782737.0,2023-01-02 09:59:59.999,53231767.803,86223,2508654,27925453.1110,0
2023-01-02 10:00:00,11.137,11.138,10.832,11.047,5809718.0,2023-01-02 10:59:59.999,63933607.587,92150,2987420,32875520.7360,0
2023-01-02 11:00:00,11.047,11.049,10.9,11.007,2256854.0,2023-01-02 11:59:59.999,24788897.847,40064,1119983,12304053.1540,0
2023-01-02 12:00:00,11.008,11.2,10.998,11.081,5024279.0,2023-01-02 12:59:59.999,55725317.51,65078,2437782,27040587.1000,0
2023-01-02 13:00:00,11.081,11.14,11.036,11.097,2723536.0,2023-01-02 13:59:59.999,30203041.787,44064,1360831,15092105.7650,0
2023-01-02 14:00:00,11.096,11.184,11.072,11.11,2234519.0,2023-01-02 14:59:59.999,24856242.854,38930,1104127,12284651.5040,0
2023-01-02 15:00:00,11.11,11.234,11.054,11.108,2495029.0,2023-01-02 15:59:59.999,27765767.5,41753,1269939,14136069.8200,0
2023-01-02 16:00:00,11.107,11.174,11.078,11.098,1427651.0,2023-01-02 16:59:59.999,15875361.166,26346,699078,7775352.9160,0
2023-01-02 17:00:00,11.098,11.155,11.07,11.136,1182359.0,2023-01-02 17:59:59.999,13148096.006,21867,602653,6702457.9520,0
2023-01-02 18:00:00,11.136,11.195,11.121,11.124,1008418.0,2023-01-02 18:59:59.999,11236629.608,19222,525092,5851599.3530,0
2023-01-02 19:00:00,11.125,11.5,11.102,11.244,2977118.0,2023-01-02 19:59:59.999,33538134.258,49107,1588613,17903225.8020,0
2023-01-02 20:00:00,11.244,11.331,11.172,11.309,2111573.0,2023-01-02 20:59:59.999,23752557.742,39062,1050369,11816075.6040,0
2023-01-02 21:00:00,11.31,11.406,11.264,11.349,1683020.0,2023-01-02 21:59:59.999,19057883.733,32915,894566,10131997.9750,0
2023-01-02 22:00:00,11.349,11.396,11.204,11.259,1844491.0,2023-01-02 22:59:59.999,20824869.499,33111,909083,10263656.6430,0
2023-01-02 23:00:00,11.259,11.316,11.224,11.259,1653034.0,2023-01-02 23:59:59.999,18625730.104,28942,859419,9684828.8350,0
2023-01-03 00:00:00,11.259,11.324,11.147,11.278,2375511.0,2023-01-03 00:59:59.999,26715939.703,39415,1216702,13688730.3340,0
2023-01-03 01:00:00,11.279,11.3,11.0,11.064,3501357.0,2023-01-03 01:59:59.999,38914106.986,50576,1740459,19339957.3430,0
2023-01-03 02:00:00,11.064,11.165,11.045,11.13,1677258.0,2023-01-03 02:59:59.999,18634874.367,23275,850251,9446681.1340,0
2023-01-03 03:00:00,11.131,11.217,11.069,11.199,1299565.0,2023-01-03 03:59:59.999,14495590.68,20927,679563,7583163.8960,0
2023-01-03 04:00:00,11.2,11.38,11.189,11.263,1829195.0,2023-01-03 04:59:59.999,20567390.528,28033,946045,10640298.2210,0
2023-01-03 05:00:00,11.264,11.773,11.258,11.729,9169541.0,2023-01-03 05:59:59.999,106347302.063,135030,4635653,53750432.4620,0
2023-01-03 06:00:00,11.728,11.91,11.672,11.717,9014534.0,2023-01-03 06:59:59.999,106164119.852,127700,4670310,55017956.0430,0
2023-01-03 07:00:00,11.716,11.939,11.673,11.881,4297705.0,2023-01-03 07:59:59.999,50803083.507,64755,2161886,25558529.5480,0
2023-01-03 08:00:00,11.881,11.96,11.668,11.74,4551527.0,2023-01-03 08:59:59.999,53658711.771,68087,2206436,26018408.1750,0
2023-01-03 09:00:00,11.739,11.833,11.706,11.798,2206773.0,2023-01-03 09:59:59.999,25987987.306,34478,1169602,13773396.0430,0
2023-01-03 10:00:00,11.798,11.912,11.772,11.835,2337675.0,2023-01-03 10:59:59.999,27679991.268,36019,1193494,14134059.4300,0
2023-01-03 11:00:00,11.834,11.98,11.785,11.81,4325361.0,2023-01-03 11:59:59.999,51410893.107,63285,2175634,25866595.5590,0
2023-01-03 12:00:00,11.81,11.853,11.75,11.802,2364446.0,2023-01-03 12:59:59.999,27908609.306,37935,1108396,13085101.8040,0
2023-01-03 13:00:00,11.802,12.106,11.802,11.948,4267662.0,2023-01-03 13:59:59.999,50924291.955,66685,2340381,27936110.3410,0
2023-01-03 14:00:00,11.947,12.432,11.947,12.154,18159840.0,2023-01-03 14:59:59.999,222104929.489,275129,9266288,113326256.1570,0
2023-01-03 15:00:00,12.155,12.889,12.135,12.819,26621360.0,2023-01-03 15:59:59.999,334090199.951,337255,14284827,179308212.3230,0
2023-01-03 16:00:00,12.819,13.879,12.641,12.978,29205118.0,2023-01-03 16:59:59.999,385302532.953,466619,14746380,194672708.5420,0
2023-01-03 17:00:00,12.978,13.177,12.721,12.849,11016827.0,2023-01-03 17:59:59.999,142571652.622,189636,5454588,70598536.9270,0
2023-01-03 18:00:00,12.849,12.938,12.675,12.883,6290076.0,2023-01-03 18:59:59.999,80543946.196,109082,3269805,41877162.3710,0
2023-01-03 19:00:00,12.883,13.13,12.816,12.896,7407084.0,2023-01-03 19:59:59.999,95897074.556,129170,3810822,49341045.2310,0
2023-01-03 20:00:00,12.896,13.158,12.895,13.033,4875052.0,2023-01-03 20:59:59.999,63502327.433,91993,2514805,32761051.6060,0
2023-01-03 21:00:00,13.032,13.317,12.947,13.198,5188919.0,2023-01-03 21:59:59.999,68186948.453,100167,2736378,35961484.3270,0
2023-01-03 22:00:00,13.197,13.482,13.0,13.313,5871661.0,2023-01-03 22:59:59.999,77444265.72,106117,3040763,40124129.0010,0
2023-01-03 23:00:00,13.314,13.357,13.187,13.326,4559370.0,2023-01-03 23:59:59.999,60478308.214,81456,2332753,30944384.1830,0
2023-01-04 00:00:00,13.326,13.777,13.175,13.457,12732994.0,2023-01-04 00:59:59.999,171775823.603,226557,6411893,86504220.8660,0
2023-01-04 01:00:00,13.457,13.62,13.288,13.543,7396931.0,2023-01-04 01:59:59.999,99691566.612,123967,3744257,50469251.7550,0
2023-01-04 02:00:00,13.544,13.854,13.543,13.641,8181849.0,2023-01-04 02:59:59.999,112073726.905,142195,4028310,55197415.8800,0
2023-01-04 03:00:00,13.641,14.0,13.334,13.435,10193364.0,2023-01-04 03:59:59.999,138880639.555,163939,4983575,67964139.0080,0
2023-01-04 04:00:00,13.436,13.496,13.21,13.302,7012980.0,2023-01-04 04:59:59.999,93517632.297,117936,3398977,45324338.2230,0
2023-01-04 05:00:00,13.302,13.629,13.28,13.624,4598760.0,2023-01-04 05:59:59.999,61964834.504,86680,2520237,33957896.6750,0
2023-01-04 06:00:00,13.624,13.87,13.542,13.835,6943444.0,2023-01-04 06:59:59.999,95235008.068,127515,3566070,48928041.0040,0
