timestamp,open,high,low,close,volume,taker_buy_base,complete
2025-12-01 00:00:00+00:00,90320.5,90396.899999999994,86126,86319.199999999997,80222.892000000007,36874.165000000001,True
2025-12-01 04:00:00+00:00,86319.100000000006,86524.600000000006,85563.699999999997,86487.600000000006,31809.427,15823.394,True
2025-12-01 08:00:00+00:00,86487.300000000003,86886,86090,86100.100000000006,19775.516,9410.4539999999997,True
2025-12-01 12:00:00+00:00,86100,86625,83786,84650,83435.904999999999,40852.968000000001,True
2025-12-01 16:00:00+00:00,84650,85528.699999999997,84011,84985,46606.811000000002,25733.401000000002,True
2025-12-01 20:00:00+00:00,84985,86817,84966.800000000003,86241.600000000006,34996.614999999998,19082.095000000001,True
2025-12-02 00:00:00+00:00,86241.5,87384,86140.100000000006,86936,23647.179,12629.432000000001,True
2025-12-02 04:00:00+00:00,86935.899999999994,87245.899999999994,86772,86965,11979.706,5805.4920000000002,True
2025-12-02 08:00:00+00:00,86965,87640,86321,87326.899999999994,24568.861000000001,12486.402,True
2025-12-02 12:00:00+00:00,87327,91211.300000000003,87005,90809.199999999997,78565.043999999994,41583.773999999998,True
2025-12-02 16:00:00+00:00,90809.199999999997,92273.199999999997,90156.399999999994,91849.899999999994,54905.622000000003,28164.495999999999,True
2025-12-02 20:00:00+00:00,91849.899999999994,91970.399999999994,90643.5,91249.100000000006,34434.752999999997,15303.864,True
2025-12-03 00:00:00+00:00,91249.100000000006,93068.899999999994,90954.800000000003,92589.199999999997,30608.344000000001,17309.352999999999,True
2025-12-03 04:00:00+00:00,92589.199999999997,93932.699999999997,92578,92969.899999999994,37966.712,18839.184000000001,True
2025-12-03 08:00:00+00:00,92970,93338.399999999994,92602.800000000003,92957.699999999997,21367.918000000001,10475.933999999999,True
2025-12-03 12:00:00+00:00,92957.600000000006,93653.600000000006,91637.399999999994,92332.899999999994,58413.578000000001,27196.399000000001,True
2025-12-03 16:00:00+00:00,92333,93471.100000000006,91733.199999999997,92995.800000000003,30690.222000000002,16478.413,True
2025-12-03 20:00:00+00:00,92995.800000000003,94185,92784.300000000003,93376.699999999997,22251.543000000001,11429.391,True
2025-12-04 00:00:00+00:00,93376.800000000003,94040,92628,93499.899999999994,24501.315999999999,12838.898999999999,True
2025-12-04 04:00:00+00:00,93500,93549.199999999997,92737,93358.600000000006,16001.449000000001,8029.1350000000002,True
2025-12-04 08:00:00+00:00,93358.5,93600,92666.100000000006,92894.899999999994,16325.267,7889.5910000000003,True
2025-12-04 12:00:00+00:00,92894.899999999994,93256.300000000003,91762,92933.5,38745.228000000003,17962.557000000001,True
2025-12-04 16:00:00+00:00,92933.399999999994,93143.399999999994,90822.5,91941.5,38482.82,18940.780999999999,True
2025-12-04 20:00:00+00:00,91941.5,92676.800000000003,91649.800000000003,92034.699999999997,12716.347,6290.3419999999996,True
2025-12-05 00:00:00+00:00,92034.699999999997,92665.5,91917.699999999997,92104.899999999994,10956.852000000001,5366.1469999999999,True
2025-12-05 04:00:00+00:00,92104.800000000003,92455.399999999994,91750.600000000006,92227.5,12306.339,6468.576,True
2025-12-05 08:00:00+00:00,92227.600000000006,92227.600000000006,90940.399999999994,91307.899999999994,21552.042000000001,10255.842000000001,True
2025-12-05 12:00:00+00:00,91308,91445.199999999997,89863,90414,55291.144,27329.084999999999,True
2025-12-05 16:00:00+00:00,90413.899999999994,90460,87976.300000000003,89590.5,66447.206999999995,32445.392,True
2025-12-05 20:00:00+00:00,89590.5,89706,88856.699999999997,89288.5,12571.473,6719.2690000000002,True
