timestamp,open,high,low,close,volume,taker_buy_base
1764547200000,90320.5,90396.9,86126.0,86319.2,80222.892,36874.165
1764561600000,86319.1,86524.6,85563.7,86487.6,31809.427,15823.394
1764576000000,86487.3,86886.0,86090.0,86100.1,19775.516,9410.454
1764590400000,86100.0,86625.0,83786.0,84650.0,83435.905,40852.968
1764604800000,84650.0,85528.7,84011.0,84985.0,46606.811,25733.401
1764619200000,84985.0,86817.0,84966.8,86241.6,34996.615,19082.095
1764633600000,86241.5,87384.0,86140.1,86936.0,23647.179,12629.432
1764648000000,86935.9,87245.9,86772.0,86965.0,11979.706,5805.492
1764662400000,86965.0,87640.0,86321.0,87326.9,24568.861,12486.402
1764676800000,87327.0,91211.3,87005.0,90809.2,78565.044,41583.774
1764691200000,90809.2,92273.2,90156.4,91849.9,54905.622,28164.496
1764705600000,91849.9,91970.4,90643.5,91249.1,34434.753,15303.864
1764720000000,91249.1,93068.9,90954.8,92589.2,30608.344,17309.353
1764734400000,92589.2,93932.7,92578.0,92969.9,37966.712,18839.184
1764748800000,92970.0,93338.4,92602.8,92957.7,21367.918,10475.934
1764763200000,92957.6,93653.6,91637.4,92332.9,58413.578,27196.399
1764777600000,92333.0,93471.1,91733.2,92995.8,30690.222,16478.413
1764792000000,92995.8,94185.0,92784.3,93376.7,22251.543,11429.391
1764806400000,93376.8,94040.0,92628.0,93499.9,24501.316,12838.899
1764820800000,93500.0,93549.2,92737.0,93358.6,16001.449,8029.135
1764835200000,93358.5,93600.0,92666.1,92894.9,16325.267,7889.591
1764849600000,92894.9,93256.3,91762.0,92933.5,38745.228,17962.557
1764864000000,92933.4,93143.4,90822.5,91941.5,38482.82,18940.781
1764878400000,91941.5,92676.8,91649.8,92034.7,12716.347,6290.342
1764892800000,92034.7,92665.5,91917.7,92104.9,10956.852,5366.147
1764907200000,92104.8,92455.4,91750.6,92227.5,12306.339,6468.576
1764921600000,92227.6,92227.6,90940.4,91307.9,21552.042,10255.842
1764936000000,91308.0,91445.2,89863.0,90414.0,55291.144,27329.085
1764950400000,90413.9,90460.0,87976.3,89590.5,66447.207,32445.392
1764964800000,89590.5,89706.0,88856.7,89288.5,12571.473,6719.269
1764979200000,89288.6,89758.0,88986.1,89636.5,10198.215,5506.121
1764993600000,89636.5,89732.4,89410.8,89549.6,6055.827,2880.122
1765008000000,89549.5,89679.0,89165.9,89585.4,8658.915,4048.82
1765022400000,89585.4,90257.3,89424.2,89713.4,14787.6,7496.729
1765036800000,89713.3,89940.3,89203.0,89369.4,8623.445,3901.683
1765051200000,89369.5,89578.3,88870.1,89197.1,8502.865,3933.724
1765065600000,89197.1,89704.5,89131.5,89675.6,5748.385,3321.237
1765080000000,89675.7,89750.0,89155.0,89337.1,6553.596,2912.744
1765094400000,89337.1,89494.4,89012.9,89109.4,7659.024,3787.264
1765108800000,89109.3,89700.0,87688.0,89505.0,41325.561,21195.998
1765123200000,89505.0,91722.0,89065.2,91379.7,36596.274,19084.298
1765137600000,91379.8,91473.2,88890.0,90345.4,31709.165,15798.519
1765152000000,90345.4,91650.0,89806.4,91039.4,20651.383,10584.942
1765166400000,91039.3,91868.0,90979.2,91519.8,12977.758,6797.297
1765180800000,91519.8,92262.6,91433.6,91923.5,16068.448,8071.23
1765195200000,91923.6,92106.4,89553.8,89912.6,57039.196,27438.168
1765209600000,89912.7,90471.6,89629.1,90073.6,29715.552,14787.061
1765224000000,90073.7,91338.2,90073.7,90610.8,16022.402,8253.992
1765238400000,90610.8,90810.8,89774.1,90364.0,15639.888,7756.369
1765252800000,90364.1,90485.8,89368.9,90449.9,20910.849,9674.583
1765267200000,90449.9,90584.8,89868.0,90341.9,10989.605,5264.552
1765281600000,90342.0,92867.0,89953.0,92676.9,45314.765,23476.452
1765296000000,92676.9,94555.0,92656.5,93761.9,62023.498,32201.844
1765310400000,93761.9,93819.1,92199.0,92638.4,27051.658,13330.097
1765324800000,92638.3,92748.2,91900.0,92366.0,16458.476,7804.873
1765339200000,92366.0,92749.8,92339.8,92744.7,9066.291,4666.199
1765353600000,92744.7,93278.9,91721.0,92085.5,22951.746,10403.433
1765368000000,92085.4,92197.3,91520.0,92021.8,20761.517,9922.726
1765382400000,92021.8,93223.6,91605.0,92913.8,47793.664,23737.441
1765396800000,92913.9,94443.7,91825.0,91977.5,43457.086,21473.519
1765411200000,91977.5,92046.3,89321.0,89833.1,41765.03,18690.476
1765425600000,89833.1,90445.6,89640.4,90231.4,16187.084,8441.206
1765440000000,90231.3,90494.7,89931.0,90195.3,11011.162,5179.689
1765454400000,90195.3,90618.0,89200.0,89830.1,36667.082,17564.192
1765468800000,89830.1,91499.0,89288.0,90793.5,36608.297,19183.669
1765483200000,90793.5,93547.3,90749.6,92477.5,48909.413,24957.393
1765497600000,92477.6,92719.0,91400.0,92234.3,22813.99,10380.404
1765512000000,92234.3,92685.5,92028.4,92389.5,11201.46,5175.019
1765526400000,92389.5,92600.0,92050.0,92381.5,9687.193,4915.583
1765540800000,92381.4,92630.0,89688.0,89895.0,49205.788,23156.871
1765555200000,89895.0,90617.7,89429.0,90147.3,41898.523,21648.176
1765569600000,90147.4,90357.5,89843.0,90229.6,10037.156,4895.573
1765584000000,90229.7,90432.0,90077.0,90304.0,5591.18,2608.954
1765598400000,90304.1,90379.5,90226.8,90286.1,3796.6,1825.628
1765612800000,90286.0,90599.0,90239.0,90298.4,7893.366,4005.202
1765627200000,90298.5,90441.9,89888.0,90055.4,9021.404,4011.312
1765641600000,90055.3,90236.6,89944.0,90150.9,4576.962,2289.785
1765656000000,90150.8,90248.0,89711.9,90191.3,5358.221,2738.579
1765670400000,90191.3,90440.0,90071.6,90222.3,7086.65,3159.403
1765684800000,90222.4,90300.0,90005.8,90205.1,3999.939,1797.225
1765699200000,90205.1,90250.0,88412.8,89308.2,24641.953,10623.054
1765713600000,89308.3,89630.8,88831.7,88985.2,17265.699,8586.028
1765728000000,88985.2,89372.8,88432.0,88598.7,17696.731,8862.088
1765742400000,88598.7,88779.1,87504.3,88118.8,21395.682,9692.466
1765756800000,88118.8,89972.4,88025.3,89239.9,27815.116,14136.196
1765771200000,89240.0,89880.0,89229.5,89703.0,10941.101,5486.784
1765785600000,89702.9,89940.0,89525.0,89606.0,11790.519,5523.451
1765800000000,89606.0,89845.0,86563.6,86996.6,67384.379,32100.623
1765814400000,86996.5,87189.9,85073.0,86104.2,56199.332,26865.313
1765828800000,86104.2,86437.1,85489.7,86389.9,20085.598,10318.545
